"Experiment","Sentence","Item","List","Content","No","Yes","Group","Question","AnswerL","AnswerR","Correct"
"MovingProc6","After the show*the cannon*blasted*on*top of*the castle.",70,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All morning long*the cart*banged*in*the cramped*store aisle.",71,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","A moment ago*the cart*banged*in*the cramped*store aisle.",71,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","All afternoon long*the dog*dived*in*the olympic-sized*pool.",72,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After the walk*the dog*dived*in*the olympic-sized*pool.",72,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All night long*the elephant*snorted*in*the grassy*savannah.",73,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","After dusk*the elephant*snorted*in*the grassy*savannah.",73,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","Throughout the evening*the princess*curtseyed*in*front of*the guests.",74,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After the dance*the princess*curtseyed*in*front of*the guests.",74,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All day long*the alloy*sparked*atop*the hot*anvil.",75,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","A minute ago*the alloy*sparked*atop*the hot*anvil.",75,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","Throughout the day*the student*sneezed*in*the back of*the classroom.",76,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After the test*the student*sneezed*in*the back of*the classroom.",76,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","For 45 seconds*the computer*beeped*in*the busy*lab.",77,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","After the experiment*the computer*beeped*in*the busy*lab.",77,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","For ten minutes*the professor*called*from*the cluttered*office.",78,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After the meeting*the professor*called*from*the cluttered*office.",78,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","It*had snowed*heavily*and so*the janitor*shoveled*the driveway.",80,9,"makes sense?","yes = 1","no = 5",1,"What did the janitor do?","Shovel the driveway","Shovel the sidewalk","L"
"MovingProc8","Because*the building*was*full of ants*the exterminator*spread*huge amounts*of insecticide.",81,9,"makes sense?","yes = 1","no = 5",1,"What was the building full of?","Termites","Ants","R"
"MovingProc7","Before*the scientist*submitted*the paper*the journal*changed*its policy.",82,9,"makes sense?","yes = 1","no = 5",1,"What did the journal change?","Its policy","Its schedule","L"
"MovingProc8","Before*the goal keeper*could*catch*the ball*Sam*managed*to score a goal.",83,9,"makes sense?","yes = 1","no = 5",1,"Who managed to score a goal?","Max","Sam","R"
"MovingProc7","Before*the flute player*started*his solo*the conductor*had cued*him.",84,9,"makes sense?","yes = 1","no = 5",1,"Who started a solo?","The flute player","The saxophone player","L"
"MovingProc7","The old lady*slipped*because*the boy*had heedlessly*dropped*a banana peel.",85,9,"makes sense?","yes = 1","no = 5",1,"What did the boy do?","Drop a candy bar wrapper","Drop a banana peel","R"
"MovingProc8","Within half an hour*John*ran*four miles*and then*he*got*on his bike.",86,9,"makes sense?","yes = 1","no = 5",1,"How far did John run?","Four miles","Two miles","L"
"MovingProc8","The mountaineer*reached*the top*of Mount Everest*even though*there was*a storm*coming.",87,9,"makes sense?","yes = 1","no = 5",1,"Who reached the top of Mount Everest?","The helicopter crew","The mountaineer","R"
"MovingProc8","Twenty minutes ago*the athlete*won*the race*even though*he was in*terrible*pain.",88,9,"makes sense?","yes = 1","no = 5",1,"When did the athlete win the race?","Twenty minutes ago","Twenty years ago","L"
"MovingProc8","Mister Jones*arrived*at the airport*when*they had made*the final announcement*for his flight*already.",89,9,"makes sense?","yes = 1","no = 5",1,"Where did Mister Jones arrive?","At the train station","At the airport","R"
"MovingProc9","When*Betty*entered the kitchen*she discovered*that*someone*had broken*into*the house.",90,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","Because*she*was tired*Kate*walked home*from school*very slowly.",91,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Whenever*an astronomer*discovers*a new star*he*may choose*a name*for it.",92,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","When*the bassoonist*left*the orchestra*everyone*was*relieved.",93,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","The groom*hit*the best man*violently*although*the latter*had apologized*over and over again.",94,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc9","Although*nobody*knows*anything*about*this disease*the politicians*don't think*it is dangerous.",95,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Before*the architect*could find*the construction flaw*the bridge*had*already*collapsed.",96,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Shortly after*the politician*began*his speech*the angry crowd*threw*rotten vegetables*at him.",97,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Before*the settlers*reached*the Pacific Ocean*they*had to*cross*the Sierra Nevada.",98,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","After*Mister Carlson*had entered*the casino*he*played*Black Jack*for three hours.",99,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","A big crowd*had*gathered*within an hour*in front of*the hotel*the boy group*was staying at.",100,9,"makes sense?","yes = 1","no = 5",1,,,,
